stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,corridor,active
424128201001882,Bosque Marapendi,Avenida das Américas próximo ao 909,-23.00373,-43.32303,0,424128201001800,BRT Transoeste,1
519149201000400,Cajueiros,Rua Felipe Cardoso próximo ao 1859,-22.93082,-43.67352,1,,BRT Transoeste,0
519149201000471,Cajueiros,Rua Felipe Cardoso próximo ao 1859,-22.93083,-43.67346,0,519149201000400,BRT Transoeste,0
519149201000472,Cajueiros,Rua Felipe Cardoso próximo ao 1859,-22.93089,-43.67349,0,519149201000400,BRT Transoeste,0
315083203000100,Campinho,Rua Domingos Lopes próximo ao 111,-22.88219,-43.3419,1,,BRT Transcarioca,1
315083203000171,Campinho,Rua Domingos Lopes próximo ao 111,-22.88212,-43.34194,0,315083203000100,BRT Transcarioca,1
315083203000172,Campinho,Rua Domingos Lopes próximo ao 111,-22.88213,-43.34185,0,315083203000100,BRT Transcarioca,1
518144202000100,Campo Grande,Rua Aurélio de Figueiredo próximo ao 15,-22.90177,-43.55479,1,,BRT Transoeste,1
518144202000171,Campo Grande,Rua Aurélio de Figueiredo próximo ao 15,-22.90181,-43.55477,0,518144202000100,BRT Transoeste,1
518144202000172,Campo Grande,Rua Aurélio de Figueiredo próximo ao 15,-22.90172,-43.5548,0,518144202000100,BRT Transoeste,1
518144202000600,Cândido Magalhães,Avenida Cesário de Melo próximo ao 3280,-22.90769,-43.56407,1,,BRT Transoeste,0
518144202000672,Cândido Magalhães,Avenida Cesário de Melo próximo ao 3280,-22.90772,-43.56404,0,518144202000600,BRT Transoeste,0
416124203000300,Capitão Menezes,Rua Cândido Benício próximo ao 1164,-22.89289,-43.34862,1,,BRT Transcarioca,1
416124203000371,Capitão Menezes,Rua Cândido Benício próximo ao 1164,-22.89288,-43.34866,0,416124203000300,BRT Transcarioca,1
416124203000372,Capitão Menezes,Rua Cândido Benício próximo ao 1164,-22.89291,-43.34858,0,416124203000300,BRT Transcarioca,1
310041203000100,Cardoso de Moraes,Rua Emílio Zaluar próximo ao 3,-22.85743,-43.25809,1,,BRT Transcarioca,0
310041203000172,Cardoso de Moraes,Rua Emílio Zaluar próximo ao 3,-22.85749,-43.25809,0,310041203000100,BRT Transcarioca,0
310041203000171,Cardoso Moraes,Rua Emílio Zaluar próximo ao 3,-22.85739,-43.25807,0,310041203000100,BRT Transcarioca,0
424132204000200,Catedral do Recreio,Avenida Salvador Allende próximo ao 168,-23.00373,-43.43395,1,,BRT Transolímpica,0
424132204000271,Catedral do Recreio,Avenida Salvador Allende próximo ao 168,-23.0037,-43.43397,0,424132204000200,BRT Transolímpica,0
424132204000272,Catedral do Recreio,Avenida Salvador Allende próximo ao 168,-23.00376,-43.43391,0,424132204000200,BRT Transolímpica,0
416115203000100,Centro Metropolitano,Avenida Embaixador Abelardo Bueno próximo ao 511,-22.97338,-43.3656,1,,BRT Transcarioca,1
416115203000171,Centro Metropolitano,Avenida Embaixador Abelardo Bueno próximo ao 511,-22.97341,-43.36561,0,416115203000100,BRT Transcarioca,1
416115203000172,Centro Metropolitano,Avenida Embaixador Abelardo Bueno próximo ao 511,-22.97334,-43.36562,0,416115203000100,BRT Transcarioca,1
519149202000500,Cesarão I,Avenida Cesário de Melo próximo ao 14114,-22.93462,-43.66536,1,,BRT Transoeste,0
519149202000571,Cesarão I,Avenida Cesário de Melo próximo ao 14114,-22.93452,-43.66535,0,519149202000500,BRT Transoeste,0
519149202000572,Cesarão I,Avenida Cesário de Melo próximo ao 14114,-22.93458,-43.66527,0,519149202000500,BRT Transoeste,0
519149202000400,Cesarão II,Avenida Cesário de Melo próximo ao 13674,-22.93344,-43.66197,1,,BRT Transoeste,0
519149202000471,Cesarão II,Avenida Cesário de Melo próximo ao 13674,-22.93337,-43.66192,0,519149202000400,BRT Transoeste,0
519149202000472,Cesarão II,Avenida Cesário de Melo próximo ao 13674,-22.93345,-43.66189,0,519149202000400,BRT Transoeste,0
519149202000300,Cesarão III,Avenida Cesário de Melo próximo ao 13098,-22.93174,-43.65727,1,,BRT Transoeste,0
519149202000371,Cesarão III,Avenida Cesário de Melo próximo ao 13098,-22.93166,-43.65723,0,519149202000300,BRT Transoeste,0
519149202000372,Cesarão III,Avenida Cesário de Melo próximo ao 13098,-22.93174,-43.65718,0,519149202000300,BRT Transoeste,0
519148202000400,Cesarinho,Avenida Cesário de Melo próximo ao 11692,-22.92046,-43.64355,1,,BRT Transoeste,0
519148202000471,Cesarinho,Avenida Cesário de Melo próximo ao 11692,-22.92037,-43.64348,0,519148202000400,BRT Transoeste,0
519148202000472,Cesarinho,Avenida Cesário de Melo próximo ao 11692,-22.92046,-43.64344,0,519148202000400,BRT Transoeste,0
416115204000500,Colônia,Corredor Presidente Tancredo Neves,-22.94098,-43.39464,1,,BRT Transolímpica,1
416115204000571,Colônia,Corredor Presidente Tancredo Neves,-22.94108,-43.39467,0,416115204000500,BRT Transolímpica,1
416115204000572,Colônia,Corredor Presidente Tancredo Neves,-22.94106,-43.39459,0,416115204000500,BRT Transolímpica,1
518147202000100,Cosmos,Avenida Cesário de Melo próximo ao 8960,-22.91566,-43.61608,1,,BRT Transoeste,0
